cod_dpto,dpto,departamento_limpio,anio,total_casos,casos_femenino,casos_masculino,casos_adultos,casos_menores,ipm_total
94,GUAINÍA,GUAINIA,2014,28,21,7,25,2,
94,GUAINÍA,GUAINIA,2015,21,21,0,21,0,
94,GUAINÍA,GUAINIA,2016,38,35,3,37,0,
94,GUAINÍA,GUAINIA,2017,36,33,3,36,0,
94,GUAINÍA,GUAINIA,2018,65,61,4,60,1,60.6
94,GUAINÍA,GUAINIA,2019,89,72,17,80,1,67.0
94,GUAINÍA,GUAINIA,2020,83,65,18,79,2,65.9
94,GUAINÍA,GUAINIA,2021,86,72,14,84,0,57.3
94,GUAINÍA,GUAINIA,2022,61,51,10,56,4,46.5
94,GUAINÍA,GUAINIA,2023,101,92,8,94,3,52.1
94,GUAINÍA,GUAINIA,2024,92,71,21,83,7,49.0
94,GUAINÍA,GUAINIA,2025,76,59,16,66,4,
44,LA GUAJIRA,LA GUAJIRA,2010,209,177,30,200,3,
44,LA GUAJIRA,LA GUAJIRA,2011,283,240,42,281,0,
44,LA GUAJIRA,LA GUAJIRA,2012,378,336,42,367,2,
44,LA GUAJIRA,LA GUAJIRA,2013,377,320,55,360,4,
44,LA GUAJIRA,LA GUAJIRA,2014,446,403,43,430,7,
44,LA GUAJIRA,LA GUAJIRA,2015,580,515,65,562,4,
44,LA GUAJIRA,LA GUAJIRA,2016,618,557,61,606,1,
44,LA GUAJIRA,LA GUAJIRA,2017,636,552,84,620,9,
44,LA GUAJIRA,LA GUAJIRA,2018,473,404,69,465,4,53.3
44,LA GUAJIRA,LA GUAJIRA,2019,342,279,63,333,4,48.8
44,LA GUAJIRA,LA GUAJIRA,2020,563,484,79,532,20,51.7
44,LA GUAJIRA,LA GUAJIRA,2021,602,501,98,587,7,48.7
44,LA GUAJIRA,LA GUAJIRA,2022,401,338,56,372,18,42.9
44,LA GUAJIRA,LA GUAJIRA,2023,414,358,55,389,18,42.6
44,LA GUAJIRA,LA GUAJIRA,2024,429,357,69,414,5,39.3
44,LA GUAJIRA,LA GUAJIRA,2025,426,352,68,405,9,
95,GUAVIARE,GUAVIARE,2010,6,5,0,6,0,
95,GUAVIARE,GUAVIARE,2011,8,7,1,8,0,
95,GUAVIARE,GUAVIARE,2012,24,15,9,20,1,
95,GUAVIARE,GUAVIARE,2013,18,11,7,18,0,
95,GUAVIARE,GUAVIARE,2014,51,45,6,51,0,
95,GUAVIARE,GUAVIARE,2015,79,63,16,75,0,
95,GUAVIARE,GUAVIARE,2016,119,87,32,115,0,
95,GUAVIARE,GUAVIARE,2017,83,69,14,81,1,
95,GUAVIARE,GUAVIARE,2018,155,129,26,137,8,31.4
95,GUAVIARE,GUAVIARE,2019,149,134,15,141,1,30.9
95,GUAVIARE,GUAVIARE,2020,181,159,22,169,8,34.6
95,GUAVIARE,GUAVIARE,2021,218,184,34,192,14,31.0
95,GUAVIARE,GUAVIARE,2022,193,156,37,182,3,26.9
95,GUAVIARE,GUAVIARE,2023,265,218,47,239,19,30.6
95,GUAVIARE,GUAVIARE,2024,320,230,90,298,14,21.3
95,GUAVIARE,GUAVIARE,2025,195,143,52,178,11,
41,HUILA,HUILA,2010,938,812,126,884,19,
41,HUILA,HUILA,2011,1055,923,130,1007,12,
41,HUILA,HUILA,2012,1179,1019,159,1100,22,
41,HUILA,HUILA,2013,1515,1325,189,1417,19,
41,HUILA,HUILA,2014,1860,1567,293,1768,22,
41,HUILA,HUILA,2015,1904,1600,304,1804,25,
41,HUILA,HUILA,2016,2295,2029,266,2173,22,
41,HUILA,HUILA,2017,2676,2317,359,2523,45,
41,HUILA,HUILA,2018,2053,1769,284,1916,35,18.0
41,HUILA,HUILA,2019,2347,1970,376,2188,51,18.3
41,HUILA,HUILA,2020,3031,2503,528,2854,93,23.4
41,HUILA,HUILA,2021,3197,2561,635,3037,67,17.5
41,HUILA,HUILA,2022,2057,1718,338,1974,27,13.3
41,HUILA,HUILA,2023,1842,1530,312,1765,34,11.9
41,HUILA,HUILA,2024,2108,1703,400,1985,49,10.9
41,HUILA,HUILA,2025,2303,1842,459,2163,64,
47,MAGDALENA,MAGDALENA,2010,397,323,74,379,6,
47,MAGDALENA,MAGDALENA,2011,366,285,80,352,4,
47,MAGDALENA,MAGDALENA,2012,700,570,130,666,10,
47,MAGDALENA,MAGDALENA,2013,753,643,109,711,9,
47,MAGDALENA,MAGDALENA,2014,931,770,161,889,11,
47,MAGDALENA,MAGDALENA,2015,1204,1012,192,1149,13,
47,MAGDALENA,MAGDALENA,2016,1546,1324,222,1454,26,
